German,English
riechen + nach + Dativ,to smell of / like
rufen + nach + Dativ,to call for
sammeln,to collect
schaffen,to manage / create
schauen + auf + Akkusativ,to look at / watch
scheinen,to shine / seem
schenken + Dativ,to give (a gift) to someone
schicken + an + Akkusativ,to send to
schlagen,to hit / beat
schließen,to close
schmecken + nach + Dativ,to taste like
schneiden,to cut
schreiben + an + Akkusativ,to write to
schreien,to shout / scream
schwimmen,to swim
sehen,to see
senden + an + Akkusativ,to send to
sich setzen,to sit down
singen,to sing
sinken,to sink / decrease
sitzen,to sit
sparen + für + Akkusativ,to save for
spülen,to wash (dishes) / rinse
springen,to jump
starten,to start
stehen,to stand
stehlen + Dativ,to steal from someone
steigen,to climb / rise
stellen,to put / place
sterben + an + Dativ,to die of
stören,to disturb / bother
sich streiten + mit + Dativ,to argue with
studieren,to study (at university)
suchen + nach + Dativ,to search / look for
tanzen,to dance
tauschen + gegen + Akkusativ,to exchange for
teilnehmen + an + Dativ,to participate in
telefonieren + mit + Dativ,to phone / talk on the phone with
testen,to test
tippen + auf + Akkusativ,to tap on / type on
tragen,to carry / wear
trainieren,to train / practice
transportieren,to transport
träumen + von + Dativ,to dream about
sich treffen + mit + Dativ,to meet with
sich trennen + von + Dativ,to separate from
trinken,to drink
trocknen,to dry
tun,to do
übernachten,to stay overnight
