German,Partizip II
feiern,hat gefeiert (to celebrate)
flirten,hat geflirtet (to flirt)
folgen,ist gefolgt (to follow)
fotografieren,hat fotografiert (to take photos)
fühlen (sich),hat sich gefühlt (to feel)
funktionieren,hat funktioniert (to function)
frühstücken,hat gefrühstückt (to eat breakfast)
führen,hat geführt (to lead)
garantieren,hat garantiert (to guarantee)
gebrauchen,hat gebraucht (to use)
gefallen,hat gefallen (to like / please)
gehören,hat gehört (to belong to)
gelingen,ist gelungen (to succeed)
genießen,hat genossen (to enjoy)
glauben,hat geglaubt (to believe)
gratulieren,hat gratuliert (to congratulate)
grillen,hat gegrillt (to grill)
hängen,hat gehangen (to hang)
heiraten,hat geheiratet (to marry)
hoffen,hat gehofft (to hope)
holen,hat geholt (to fetch)
informieren,hat informiert (to inform)
installieren,hat installiert (to install)
interessieren (sich),hat sich interessiert (to be interested)
joggen,ist gejoggt (to jog)
kämmen (sich),hat sich gekämmt (to comb)
kaputtgehen,ist kaputtgegangen (to break / break down)
klopfen,hat geklopft (to knock)
kontrollieren,hat kontrolliert (to control / check)
korrigieren,hat korrigiert (to correct)
kündigen,hat gekündigt (to resign / cancel)
küssen,hat geküsst (to kiss)
lächeln,hat gelächelt (to smile)
lassen,hat gelassen (to let / leave)
lügen,hat gelogen (to lie)
malen,hat gemalt (to paint)
mieten,hat gemietet (to rent)
mitbringen,hat mitgebracht (to bring along)
mitfahren,ist mitgefahren (to ride along)
mitkommen,ist mitgekommen (to come along)
mitnehmen,hat mitgenommen (to take along)
nutzen,hat genutzt (to use)
operieren,hat operiert (to operate)
organisieren,hat organisiert (to organize)
parken,hat geparkt (to park)
passieren,ist passiert (to happen)
probieren,hat probiert (to try / taste)
rasieren (sich),hat sich rasiert (to shave)
rechnen,hat gerechnet (to calculate)
reservieren,hat reserviert (to reserve)
