German,English
Die Wohnung,Aparment
Das Haus,House
Das Zimmer,Room
Das Wohnzimmer,Living room
Das Schlafzimmer,Bedroom
Das Kinderzimmer,Children's room
Das Arbeitszimmer,Home office
Die Küche,Kitchen
Das Badezimmer-Das bad,Bathroom
Entschuldigung wo is das Badezimmer?,Excuse me where is the barthroom?
Die Toiletter is hier links,The toiler is here to the left
Entschuldigung who is die Küche?,Excuse me where is the kitchen?
Die Küche is hier hinten,The kitchen is here in the back
Entschuldigung wo is das Wohnzimmer?,Das Wohnzimmer is dort rechts.
Entschuldigung wo is das Abeitszimmer?,Das Abeitsyimmer is da vorne
Entschuldigung wo is das Badezimmer?,Excuse me where is the bathroom?
Das Badezimmer ist neben der Küche,The bathroom is next to the kitchen
Links,Left
Rechts,Right
Hinten,Back
Vorne,Front
Neben,Next to
Wie ist es?,What is it like?
Billig,Cheap
Teuer,Expensive
Das haus is teuer,The house is expensive
Die Wohnung is billig,The apartment is cheap
Schön,Beautiful-pretty
Hässlich,Ugly
Dunkel,Dark
Hell,Light-Bright
Das Arbeitszimmer is dunkel,The home office is dark
Das Kinderzimmer is hell,The children's room is bright
Alt,Old
Neu,New
Klein,Small
Groß,Big
Wie ist etwas?,How is something?
Wie is die Küche?,What is the kitchen like?
Wie is dein Auto?,What is your car like?
Wie is ,What is    
Mein Auto is alt. Es it Groß,My auto is old. It is big.
Wie is euer Haus?,What is your (plural) houselike?    
Unser Haus ist groß,Our house is big. Es ist schön.
Wie is seine Küche?,What is his kitchen like?   
Seine Küche ist neu und hell. Sie ist sehr Teuer,His kitchen ios new and bright. It is very expensive
Das ist doch toll,That's great
Hast du auch einen Balkon?,Do you also have a balcony?
Möchtest du mich vielleicht besuchen?,Do zou maybe want to pay me a visit?
Ja gerne, Yes I would love to
Das Haus,House
Der Stock,Floor
Der erste Stock,First floor
Der zweite Stock,Second floor
Der dritte Stock,Third floor
Der Dachboden,Attic
Der Garten,Garden
Der Balkon,Balcony
Die Garage,Garage
Die Treppe,Stairs
Der Keller,Cellar
Der Erdgeschoss,Ground floor
Wo is das Schlafzimmer?,Where is the bedroom?
Das Schlafzimmer ist im ersten Stock,The bedroom is on the first floor
Wo sind die Kinder?,Where are the children?
Die Kinder sind im Garden,The children are int the garden
Wo ist die Küche?, Where is the kitchen?
Die Küche ist im Erdgeschoss,The kitchen is on the ground floor
Who is das Schlafzimmer?,Whwere is the bedroom?
Das Schlafzimmer ist im Haus,The bedroom is in the house
Who is das Auto?,Where is the auto?
Das Auto is in der Garage,The auto is in the garage
Wo is der Vater?,Where is the father?
Der Vater is in der Küche,The father is in the Kitchen
Der Schrank,Cabinet or cupboard
Das Sofa,Sofa
Die Couch,Sofa
Der Couchtisch,Coffee table
Die Lampe,Lamp
Der Teppich,Carpet
Das Bett,Bed
Der Fernseher,Tv
Der Stuhl,Chair
Der Tisch,Table
Im Wohnzimmer ist das Sofa der Couchtisch Die Lampe Der Teppich und der Schrank,In the living room there is a couch a coffee table a lamp a carpet and a cupboard
Das Regal,Shelf
Was ist im Wohnzimmer?,What is in the living room?
Wie gefällt dir...?,How do you like..?
Wie gefällt Ihnen...?,How do you like..?
Es gefallt mir-sehr-gut,I like it-a lot-very much
Das Sofa gefällt mir nicht so gut,I don't like the sofa much
Wie gefällt dir der Tisch,Do you like the table?
Der Tisch gefällt mir nicht, I don't like the table
Der tisch gefällt mir überhaupt nicht,I don't like the table at all
Wie gefallen dir die Stühle?,How do you like the chairs?
Die Stühle,Chairs
Der Küchenschrank,Kitchen cupboard
Der Herd,Stove
Der Kühlschrank,Fridge
Die Spühle,Kitchen sink
Die Waschmaschine,Washing machine
Die Dusche,Shower
Die Badewanne,Bathtub
Das Waschbecken,Bathroom sink
Der Spiegel,Mirror
Die Toilette,Toile
Daneben,Next to it
Farben,Colors
Rot,Red
Weiß,White
Schwarz,Black
Grün,Green
Gelb,Yellow
Blau,Blue
Orange,Orange
Braun,Brown
Lila,Violet
Grau,Grey
Welche Farbe hat es?,Which color is it?
Das auto is rot,
Welche Farbe hat der Stuhl?,What color is the chair?
Welche Farbe Haben die Kissen?,Which color are the cushions?
Das Feld,Field
Der Vogel,Bird
Die Hose,Pants
Dein/Deine,Your
Sein/Seine,His
Ihr/Ihre,Her
Das ist Monikas Haus,This is Monika's house
Ihr Haus ist groß und hell,Her house is big and bright
Ihre Küche ist im ersten Stock,Her kitchen ison the first floor
Und ihr Schlafzimmer ist im zweiten Stock,And her bedroom is on the second floor
Am Ende des...,At the end of
Die Adresse,Address
Das Fahrrad,Bike
Zweihundert,200
dreihundert,300
vierhundert,400
fünfhundert,500
sechshundert,600
siebenhundert,700
achthundert,800
neunhundert,900
einhundertneunundzwanzig,129
zweihundertvierunddreßig,234
vierhundertsechszenh,416
Tausen/ein tausend,1.000
zweitausen,2.000
dreitausen,3.000
viertausen,4.000
fünftausen,5.000
sechstausen,6.000
siebentausen,7.000
achttausen,8.000
neuntausen,9.000
Eine Million, 1.000.000
Fünftausendsechshundertachtundsiebzig,5678
Zweihundertsiebenundsechzig,267
Vierhundertneunundachtzig,489
Tausenddreihundertzweiundvierzig,1242
Dreitausendfünfhundertneunundsiebzig,3579
Sechstausandvierzenh,6014
Siebentausendeneunhunderteindneunzig,7991
Zwölftausendreihunderteinundzwanzig,12321
Fünfzehntausendsechshundertachtzig,15680
