German,English
Mein Tag,My day
Die Uhr,Clock
Es ist acht Uhr,It's eight oclock
Aufstehen,Get up
Der Zahn,Tooh
Die Zähne,Teeth
Sich die Zähne putzen,To brush teeth
Sich anziehen,Get dress
halb 9,Half pass 8
Mit dem bus,By bus
Fahren,To drive
Die Arbeit,Work-job
Arbeiten,To work
Wenn,when-once
Kommen,To come-To arrive
Aufräumen,To clean up
Wann?,When?
Kochen,To cook
Das Mittagessen,Lunch
Der Abend,Evening
Am Abend,In the evening
Der Besuch,The visit
Zu besuch kommen,To visit
Fernsehen,To watch tv
Spielen,To play
Das Spiel,Game
Das Computerspiele,Computer games
Das Computerspiel,Computer game
Spaß haben,To have fun
Der Spaß,Fun
Sie haben viel Spaß,They have a lot of  fun
Schlafen,To sleep
Schlafen gehen,to go to sleep
Wie spät ist es?,What time is it?
Es ist zehn Uhr,10:00
Es ist neun Uhr Dreißig,09:30
Es ist halb zehn,09:30
Wie viel Uhr ist es?,What time is it?
Was macht er um...?,What is he doing at...
Triffen,Meeting
Um 8 Uhr,At 8 o'clock
Von 8 bis 9 Urh,From 8 until 9
Vor der Arbeit und nach der Arbeit,Before and after work
Um halb drei kocht Martin das Mittagessen,At 2:30 Martin cocks lunch
Von acht bist zwei arbeitet Martina, Martina works from eight to two
Jeden tag von fünf bis sieben spazieren sie zzusammen,Everyday from five to seven they walk together
Es ist fünf vor zehn,9:55
Es ist fünf nach zehn,10:05
Es ist fünf vor halb zehn,09:25
Es ist fünf nach halb zehn,09:35
Es ist Viertel vor sieben,06:45
Es ist Viertel nach sieben,07:15
Es ist kurz nach sieben,It's a little bit later than seven o'clock
Wochentage,Days of the week
Montag,Monday
Dienstag,Tuesday
Mittwoch,Wednesday
Donnerstarg,Thursday
Freitag,Friday
Samstag,Saturday
Sonntag,Sunday
Welcher Tag ist heute?
Es ist Samstag,
Welche Tag war gestern?,
der Tag,Day
gestern,Yesterday
heute,today
morgen,tomorrow
Wann kommst du aus dem Urlaub zurück?,When do you come from vacation?
Ich komme am Mittwoch aus dem Urlaub zurück,On Wednesday I come back
Am Mittwoch komme ich aus dem Urlaub zurück,On Wednesday I come back
Wann fährst du nach Berlin?,When are you going to Berlin?
Ich fahre nach Berlin am Dienstag um 9 Urh, I'm going to Berlin on Tuesday at 9 am
Am Dienstag um 9 Uhr komme ich nach Berlin, I'm going to Berlin on Tuesday at 9 am
Am dienstag um 9 Uhr, I'm going to Berlin on Tuesday at 9 am
Wann arbeitest du?,When do you work?
Von Montag bis Freitag von 8 bis 3 Uhr,From monday to friday from 8am to 3pm
Heute is Sonntag,
Welche Tag ist morgen?,What day is tomorrow?
Welche Tag ist heute?,What day is today?
Welche Tag ist gestern?,What day was yersterday?
Trennbare verben,Separable verbs
Ich räume mein Zimmer auf,I clean up my room
Ich stehe um 8 Uhr auf,I get up at 8 o'clock
Du rufst deine Großmutter an,You call you grandmother
Er zieht sich an,He's getting dressed
Das Fenster,Window
Ich mache das Fenster auf,I open the window
Ich mache die Tür zu,I close the door
Sich,Himself
Wir sehen gerne fern,We like to watch TV.
Sie kauft viele Sachen ein
Die Sache-n,Things-Stuff
Das Fenster/,Window-s
Was machst du gerne?,What do you like?
Was machst du nicht gerne?,What do you not like?
Stehtsdu gerne früh auf?,Do you like to get up early?
Nein ich stehe nicht gerne früh auf,No I don't like to get up early
Der Monat-e,Month-s
Die Jahrezeit-en,Season-s
Januar,January
Februar,February
März,March
April,April
Mai,May
Juni,June
Juli,July
August,August
September,September
Oktober,October
November,November
Dezember,December
Im Januar gehen wir immer Skifahren,We alwazs go skiin in january
Im Juli Oder Augsut haben wir Urlaub,Our birthdays are in july or august
Von September bis November renovieren wir unsere Wohnung,From september to november we  are renovating the apartment
Im Juni essen wir gern Erdbeeren,Im june we like to eat strawberries
Sommer,Summer
Winter,Winter
Herbst,Autumn
Frühling,Spring
Im Sommer fahren wir ans Meer,In summer we are going to the seaside
Im Winter ist es kalt,
Im Herbst habe ich Geburstag,My birthday is on autumn
Im Frühling ist das Wetter schön,On spring the weather is nice
Die Einladung,Invitation
Wollen,To want
Die Zeit,Time
Fragen,To ask
Zeit haben, to have time
Frei sein,Be free-Available
Der Geburtstag,Birthday
Eine Party mache,to throw a party
Beginnen,To begin
Ich wollte dich fragen...,I wanted to ask you...
Pünktlich,Puntual
Sei pünktlich,Be puntual 
toll,Great-Awesome-Fantastic
Bis Samstag,Until Saturday
Unregelmäßige Verben,Irregular verbs
