German,English
überraschen,to surprise
übersetzen + in + Akkusativ,to translate into
überweisen + auf + Akkusativ,to transfer (money) to
umarmen,to hug
umsteigen + in + Akkusativ,to change / transfer to (transportation)
umziehen,to move (house) / change clothes
unterbrechen,to interrupt
sich unterhalten + über + Akkusativ,to talk / converse about
unternehmen,to undertake / do something
unterschreiben,to sign
untersuchen,to examine
unterstützen,to support
verbieten,to forbid
verbinden + mit + Dativ,to connect with
verbringen,to spend (time)
vergessen,to forget
vergleichen + mit + Dativ,to compare with
vergrößern,to enlarge
verhaften,to arrest
verhindern,to prevent
verlassen,to leave / abandon
verlieren,to lose
vermeiden,to avoid
vermieten,to rent out
verpassen,to miss (bus/train/event)
versprechen,to promise
verstehen,to understand
versuchen,to try
verteilen,to distribute
verzeihen + Dativ,to forgive someone
sich vorbereiten + auf + Akkusativ,to prepare for
vorhaben,to intend / plan
vorlesen,to read aloud
vorschlagen,to suggest
sich vorstellen,to introduce oneself / imagine
wachsen,to grow
wählen,to choose / vote / dial
warnen + vor + Dativ,to warn against / about
warten + auf + Akkusativ,to wait for
sich waschen,to wash oneself
wechseln,to change / exchange
wecken,to wake someone up
weinen,to cry
weiterfahren,to continue driving
weitermachen,to continue doing
sich wenden + an + Akkusativ,to turn to / contact someone
werfen,to throw
wiederholen,to repeat
widersprechen + Dativ,to contradict
winken + Dativ,to wave at someone
