German,English
Was bist du von Beruf?,What's your job? 
Was sind Sie von Beruf?,What's your job? 
der Lehrer - Die Lehrerin,teacher
der Ingenieur - die Ingenieurin,engineer
der Verkäufer - die Verkäuferin,seller
der Kellner - die Kellnerin,waiter
der Arzt - die Arztin,doctor
der Krankenpfleger - die Krankenpflegerin,nurse
der Tierarzt - die Tierärztin,vet
der Zahnarzt - die Zahnärztin,dentist
der Mechanike - die Mechanikerin,mechanic
der Programmierer - die Programmiererin,programmer
der Polizist - die Politzistin,police officer
der Elektriker - die Elektrikerin,eletrician
der Geschäftsmann - die Geschäftsfrau,businessman
der Anwalt - die Anwältin,lawyer
der Journalist - die Journalistin,journalist
der Friseur - die Frisöse,hairdresser
der Kock - die Köchin,cook
Ich bin Ingenieur von Beruf,I'm an engineer
Mein Name ist Laotze und ich bin Ingenieur,My name is Laotze and I'm an engineer
ich repariere Computer,I repair computers
Ich arbeite in einem kleinen Startup als Programmierer,I work as a programmer in a startup
eigen,private or own
Ich bin arbeitslos,I'm unemployed
Ich bin auf Arbeitssuche,I'm looking for a job
können,can
Modalverben,Modal verbs
Wir müssen unseren Hund füttern,We have to feed our dog
Mein Bruder muss Deutsch lernen,My brother  has to learn German
Ich muss heute yum Arzt,I have to go to the doctor today
Ich darf Auto fahren,I'm allowed to drive a car
Wir dürfen nicht lange schlafen,We're not allowed to sleep long
Sportler dürfen nicht rauchen,Athletes are not allowed to smoke
Ich darf auf der Arbeit nicht telefonieren,I'm not allowed to make phone calls at work
Er soll mehr schalfen,he should sleep more
Du sollst nicht so viel arbeiten,you shouldn't work so much
Sie soll langsamer fahren,She should drive slower
Wir sollen den Hund nicht so viel füttern,We shoudn't feed the dog so much
werden,to become
Ich will das Buch heute zu Ende lesen,I want to finish the book today
Jeder will glücklich sein,Everyone wants to be happy 
Ich möchte sie kennenlernen,I want to meet her
Mein Brude möchte ein neues Auto kaufen,My brother would like to buy a new car
Gut,good
besser,better,
am besten,the best
verbessern,improve-make better
auswählen,pick or choose
verbringen,spend (time)
verschieden,different or various
vielleicht,maybe
das Vokabular,vocabulary
das Hörverstehen,listening comprehention
die Aussprache,pronunciation
der Gespräschspartner,Conversation partner
Was hast du heute gemacht?,what did you do today?
Sätze,Sentences
Wörtern,words
Pass auf,Pay attention
die Anrede,greeting
lieber,dear
Sehr geehrter,Dear-Esteemed-Highly respected
Vielen Dank für Ihre Nachricht-Email,Thank you for your message-email
Vielen Dank für Ihr Interesse an...,Thank you for your interest in...
Das Dokument befindet sich im Anhang,The document is in the attachment
Wenn Sie noch Fragen haben. zögern Sie nicht. mich zu kontaktieren,If you have additional questions don't  hesitate to contact me.
Ich freue mich auf Ihre Antwort,I'm looking forward to your reply
Mit freundlichen Grüßen,Best regards
Viele Gruße - Liebe Grüse - Alles Gute,Endings for an email
Der Absender,sender
der Empfänger,recipient
der Betreff,subject
der Anhang,attachment
schreiben,to write
löschen,to delete
senden,to send




