German,English
Die Mahlzeit,meal
verschiedene,varios - different
davon,from it - of it
jeweiligen,current - respective
was wird gegessen?,what is eaten?
persönlich,personal - individual
die Präferenz - en,preference
belegen,To occupy - cover
die Gewürzgurke -n,pickle - pickled cucumber
schneiden,to cut - slice - ignore
Das Pausenbrot,pocket lunch - light meal - snack
naschen,to nibble - snack
Das Aufstehen,getting up
Nach dem Aufstehen,after waking up
die Backware -n,baked goods
beliebt,popular - beloved
der Aufstrich,topping - spread
Das Müsli,cereals
verzichten,to give up - do without - abandon
ein kleiner Teil, a little piece
Der Teil -n,part - portion - fraction
überhaupt (nicht),at all - anyway - completely
davon abhängen,to depen on something
Es hängt davon ab...,it depends on...
am jeweiligen tag,On that particular day
umwandeln,to transform - change - convert
besonders,especially
die Arbeitende,working people
Der Zugang,Access
belegtes Brot,Sandwich
die Kalte Platte,cold cuts
der Brotkorb,bread basket
dazu,with that - in addition
die Gemüsesorte -n,vegetable variety
der kleine Hunger,to have a little hunger - craving a snack
Was isst du zum...?,What do you eat for...?
Was isst du gerne zum...?,What do you like to eat for...?
die Diät,diet
hängt davon ab,It depends on...
am meisten,mostly
Könnten sie mir helfen?,Could you help me?
Könntest du mir dir Nummer geben?,Could you give me the number?
in einer super Lage sein,to be in a great location - well placed
nichts ist kaputt,nothing is broken
kaum benutzt,almost not used at all
immer,always
oft,often
manchmal,sometimes
ab und zu,now and then
selten,seldom
fast nie,almost never
nie,never
genießen,hat genossen (to enjoy)
ein mal pro Woche,once per week
jede Woche,every week
jeden Tag,every day
willst du auch welche?,Do you also want some?
holen,hat geholt (to get - fetch - catch)
der Pfannkuchen -,pancake
Das Rezept -e,recipe - formula
Das Papier -e,Paper - document - certificate
