German,English
aktive,active
regelmäßig,regular - at regular intervals - periodic
achten,To pay attention - respect - watch
die Ernährung,Nutrition - diet - nourishment
am wenigsten,few - at least
der Liegestütz -e,push-up
die Kniebeuge -n,Squad
der Rechtsanwalt,Attorney - lawyer - advocate
wohl,well - comfortable - pleasant
ernähren,to feed - nourish - eat
ich ärgere mich,I'm annoyed
schminken,to apply makeup
wohlfühlen,to feel good
der Stipp -e,tip
die Gesundheit,health
sich fühlen nicht wohl,To not feel good
wüntend,angry
alles wird gut sein,everything will be good
ständig,all the time - constantly
einschlafen,to fall asleep - go to sleep
anstatt,instead
abnehmen,to lose weight
definitiv,definitely
minimal,at least
krankschreiben,medical certificate - sick note
zu dick,too fat
stress haben,to be under stress
kann schon sein,could be
Hast du Lust...?,Do you feel like...?
Ich habe keine Lust,I don't feel like it
Ich habe Lust auf ein eis...,I feel like having an ice cream
unbedingt,absolute - without reservartions
abnehmen,to lose (weight) - take down - diminish
eventuell,maybe - in certain cases - possibly
ich muss dir zugeben,I must admit that...
du schaffst es,you can do it
ich habe jetzt einfach keine Lust darauf,I just don't feel like it right now
der Anfänger,beginner - novice
der Fortgeschrittene,advance learner
der Teilnehmer -,participant - attendee
