German,English
Das beste ist...,The best is...
Am Anfang,At the beginning
Am Rand,On the side
herzhaft,hearty -  robust - substantial
Wohin soll ich... stellen?,Where should i put the...?
Was mit...?,What about...? (akkv)
durch,through (akkv)
gegen,against/into (akkv)
um,around (akkv)
aus,out of (dativ)
bei, at + place - at company - near/by - at - activity (dativ)
zu,to (dativ)
an, on (Wechselpräpositionen)
auf,on (to) (Wechselpräpositionen)
hinter,behind (Wechselpräpositionen)
in,in (to) (Wechselpräpositionen)
neben,next to (Wechselpräpositionen)
über,over (Wechselpräpositionen)
unter,under (Wechselpräpositionen)
vor,in front of (Wechselpräpositionen)
zwischen,between (Wechselpräpositionen)
stehen,To be standing
stellen,To place/set upright
liegen,To be lying (flat things / things laying down)
legen,To lay something (flat things / things laying down)
sitzen,To be sitting
setzen,To sit down
Der Sessel,armchair
woher,Where something is from
wo,fix location or placement
wohin,ask about direction or movement
raus,out
rein,in
rauf,up
runter,down
rüber,over
Der Druck,pressure
die Anzeige,ad
die Möbel,furniture
zu verkaufen,for sale
der Zustand,condition - state - situation
inklusive,including - inclusive
Das Gefrierfach - Gafrierfächer,freezer-s
der Herd - Herde,stove - hearth - focus
der Backofen - Backöfen,Oven - baking oven
ca,circa - around
verhandelbar,negotiable
der Geschirrspüler,dishwasher
eignen sich,To be suitable for something
gemütlich,comfortable
dazu,additionally - regarding this
erhältlich,available
etwas dazu bekommen,To receive sth extra
gut erhalten,in good condition
der nichtraucher,non-smoker - smoke-free area
der Haushalt,household - budget
die Schublade-n,drawer
massiv,massive - solid - severe
kaum,hardly - barely - scarcely
neuwertig,as new - like new
der Kratzer -,scraper - scratch
das Holz,wood - timber - character
der Arbeitstisch,desk - work table
die Länge,length - duration
die Breite,breadth - width
die Höhe,height - altitude
verstellbar,adjustable
der Kleiderschrank- änke,wardrobe - closet
Aus Holz,wooden - made out of wood
die Schiebetür - en,sliding door
der Kleiderbügel - ,clothes hanger
gering,small - minor - negligible
der Gebrauch,user - application - custom
funktionsfähig,working - functional - operational
Selbstabholung,local pickup - self-collection
eventuelle demontage
die Demontage -n,disassembly - dismantling
ziehen,to move
neulich,recently
die Bitte,request
eine Bitte an jemanden haben,to have a request  for someone
Ich habe eine bitte an Sie,I have a request for you
das Paket,package
Das paket soll ankommen,the packet should arrive...
ein paket fur mich,a packet for me
Ich habe mir einen Stulh bestellt,I ordered a chair
das Paket übernehmen,to take the package
Könnten Sie bitte..?,could you please..?
die Beziehung,relationship
die Kiste -n,box - case - crate
gießen,hat gegossen (to water)
der Hausmeister,caretaker - janitor
