German,English
der Müll,garbage - rubbish - waste
raus,out
rein,in
rauf,up
runter,down
rüber,over there
hin,there
her,here
komm rein,come in
komm rüber,come over
Ich gehe mal rüber,I'll go over there
Nimm den Müll raus,take the trash out
die Veranstaltung -en,event - activity - conference
unternehmen,To go out - do something (socially or activelly)
Sag mal,Listen - tell me
Mal wieder,once again - again
wählen,hat gewählt (choose - select - vote)
der Eintritt -e,admission - entrance - entry
der Spaziergänger,Stroller - walker
die Erklärung -en,Explanation - clarification - statement
der Buchhalter,accountant
die Ausbildung,Education
die Berufserfahrung,professional experience
aufgeregt,excited
naja,well
Deshalb,hence - therefore - thus
der Lebenslauf -äufe,CV - Curriculum vitae
die Ruckmeldung -e,answer - reply
der Abteilungsleiter,manager - head of department
Arbeitsstelle,Job - position - workplace
die Gemainschaft,community - association
die Kantine,canteen
der arbeitstag,workday
Große liebe für etwas haben,to have a gerat love for something
der Chef,boss
der Mitarbeiter,coworker - employee - staff member
der Ratschlag -äge,advice
der Rat -äte,advice
zuhören,hat zugehört (to listen)
Ich höre zu,I am listenning
hörst du mir zu?,Are you listenning to me?
punktlich,on time
höflich,polit - respectful
stolz,proud - arrogant
Fragen,hat gefragt (to ask - inquire)
die Hilfe,help
merken,hat gemerkt (to remember - realize - perceive)
stören,hat gestört (To disturb - bother)
überstunden machen,to work overtime
versuchen,hat versucht (to try - attempt)
aufpassen,hat aufgepasst (to pay attention - watch out)
melden,hat gemeldet (to notify - report - let someone know)
er meldet mir wenn er kommen kann,He is letting me know when he can come
Wenn,if - when (conditional)
Wann,When (at what time)
dann,then (afterwards)
denn,because - since
denn (modal partikel),Shows interest/surprise - softens tone
die Zutat -en,ingredient
die  Präsentation -en,presentation
spannend,exciting - interesting - captivating
schon mal,before - ever
na klar,of course - sure
trocken,dry - arid - boring
nass,wet - damp - moist
ziemlich,fairly - quite - rather
furchtbar,terrible - frightening - horrible
kühl,cool - chill
sinken,ist gesunken (to sink - descend)
steigen,ist gestiegen (to rise - ascend)
der Sturm,storm - assault - attack
sturmisch,stormy - tempestuous
der Nebeln,fog - mist
neblig,foggy - misty
das Gewitter,Thunderstorm
der Norden,north
der Süden,south
der West,west
der Osten,east
zeitweise,temporarily - occasionally
ergänzen,hat ergänzt (to add - complete - suplement)
stimmen,hat gestimmt (to be right)
das stimmt,that's right
das stimmt nicht,that's not right
das stimmt gar nicht,that's not right at all
passen, hat gepasst (to suit - fit - please)
wahr sein,to be true
das ist nicht wahr,that is not true
das kann doch nicht wahr sein,that can't be true
sicher,sure
bist du sicher?,are you sure?
Ich bin mir nicht sicher,I'm not sure
klar,clear
is that klar?,is that clear?
in Ordnung,okay - alright - fine
ist alles in Ordnung?,is everything all right?
ist es in Ordnung. wenn ich dir später zuruckrufe?, is it okay if I call you back later?
ich finde das nicht in Ordnung,I don't think that's ok
keine Ahnung,no idea
ich habe Keine Ahnung wo X ist,I have no idea where X is
das passt,that fits - suits - works
das passt nicht,that doesn't fits - suits - works
passt dir das?,Does that suits you?
etwas,something
ich hole mir etwas zum Essen,I'm getting soemthing to eat
nichts,nothing
das Ding,thing
das Dings,a thing you can't its name
wo ist das Dings zum...,where is the thing to...
das Dings hier?,this thing here?
ich brauche etwas zum...,I need something to...
Gib mir mal das Dings da,give me that thing over there
was ist das für ein Ding?,what kind of thing is that?
ähnlich,similar - alike - comparable
ähnliche Dinge,that sort of things
taugen,hat getaugt (to be good for - suitable)
Alle guten Dinge sind drei,third time's the charm - all good things come in three
Dingsda - Dingsbums,Thingy
jemand,someone
niemand,no one
wie jemand wie mand en Drucker benutzt,Does anybody know how to use the printer?
jemand anderes/r,someone else
niemand anderes/r,no one else
die Abteilung,department - division
irgend,some - any - whatever
irgendwo,anywhere
irgendwann,sometime - anytime
irgendwie,anyhow
irgend,some - any - whatever
