German,English
vorstellen,to introduce - present
zurechtkommen,to get along
spezifisch,specific - particular
aufwachsen,to grow up - mature
die Unterkunft,accommodation
das Alterscheim,nursing home - retirement home
die Meinung,opinion - belief - view
rücksichtvoll,considerate
doch,but
nebensächlich,insignificant - minor - secondary
besitzen,to own - possess
zurzeit,currently - at the moment
in der Zwischenzeit,in the meantime
der Streit,argument
verbringen,to spend
von zuhause arbeiten,To work from home
was für ein-einen...,what kind of...
beide,both
der Spaziergang,walk - stroll
eigen,belonging - distinct
übernachten,to stay overnight
da,since
der Lebensstil -e,lifestyle
unterschiedlich,different
der Unterschied -e,different - contrast - distinction
bereiten,to prepare - cause
unterhalten,to entertain - chat - talk
außerhalb,outsite - beyond
die Arbeitstag -e,workday
frei haben,to be free from work
möchten,Would you like...?
würden,Would you...?
könnten,Could
hatten,Would you have...?
wären,Would you be...
der Geschmack -äcke,taste - flavor
der Vorschlag -äge,proposal - recommendation
vorbereiten,prepare - arrange
staubsaugen,vacuum - hoover
saugen,suck - vacuum - absorb
Der Flu,hallway - corridor
die Leidenschaft -en,passion - emotion
eines Tages,some day
kündigen,terminate - cancel - give notice
Das Wohnmobil -e,camper - motor home
wahrscheinlich,likely - probable
Wir könnten etwas zusammen am Wochende unternehmen,We could do something together on the weekend
Möchtest du etwas mit mir am Wochende unternehmen,Would you like to do something with me on the weekend?
Worauf habt ihr Lust?,What do you feel like doing?
Würdet ihr gerne mitkommen?,Would you like to come along?
Wir könnten mal wieder...,We could again...
Was sagt ihr dazu?,What do you say about it?
Unter vier Augen,In private (idiom)
Warum denn nicht,why not
In Ordnung,ok - fine
Ja. Das geht bei mir,Yes that works for me
Das machen wir,we'll do that
Ich komme gerne mit,I'd like to come along
Ich mache gerne mit,I'd like to take part
einverstanden,agreed
gute Idee,good idea
Um wie viel Uhr?,At what time?
Tut mir leid. Aber...,I'm sorry. But...
Leider habe ich keine Zeit,Unfortunately I don't have time
Schade,What a shame
Das geht leider nicht,Unfortunately that won't work
Ich würde gerne. Aber...,I would like to. But...
Dann komme ich leider nicht. Aber...,Unfortunately I can't then. But...
Ich würde eigentlich lieber...,Actually. I would prefer to...
Können - könntest du...?,Could you...?
Haben - hättest du...?,Would you have...?
Werden - würdest du...?,Would you...?
Sein - Wärst du...?,Could you be...?
