German,Partizip II
überraschen,hat überrascht (to surprise)
übersetzen,hat übersetzt (to translate)
überweisen,hat überwiesen (to transfer (money))
umarmen,hat umarmt (to hug)
umsteigen,ist umgestiegen (to change (transport))
umziehen,ist umgezogen (to move (house) / change clothes)
unterbrechen,hat unterbrochen (to interrupt)
unterhalten (sich),hat sich unterhalten (to converse / entertain)
unternehmen,hat unternommen (to undertake / do something)
unterschreiben,hat unterschrieben (to sign)
untersuchen,hat untersucht (to examine)
unterstützen,hat unterstützt (to support)
verbieten,hat verboten (to forbid)
verbinden,hat verbunden (to connect)
verbringen,hat verbracht (to spend (time))
vergessen,hat vergessen (to forget)
vergleichen,hat verglichen (to compare)
vergrößern,hat vergrößert (to enlarge)
verhaften,hat verhaftet (to arrest)
verhindern,hat verhindert (to prevent)
verlassen,hat verlassen (to leave / abandon)
verlieren,hat verloren (to lose)
vermeiden,hat vermieden (to avoid)
vermieten,hat vermietet (to rent out)
verpassen,hat verpasst (to miss (bus/train))
versprechen,hat versprochen (to promise)
verstehen,hat verstanden (to understand)
versuchen,hat versucht (to try)
verteilen,hat verteilt (to distribute)
verzeihen,hat verziehen (to forgive)
vorbereiten,hat vorbereitet (to prepare)
vorhaben,hat vorgehabt (to intend / plan)
vorlesen,hat vorgelesen (to read aloud)
vorschlagen,hat vorgeschlagen (to suggest)
vorstellen (sich),hat vorgestellt (to introduce / imagine)
wachsen,ist gewachsen (to grow)
wählen,hat gewählt (to choose / vote)
warnen,hat gewarnt (to warn)
warten,hat gewartet (to wait)
waschen (sich),hat gewaschen (to wash)
wechseln,hat gewechselt (to change / exchange)
wecken,hat geweckt (to wake someone up)
weinen,hat geweint (to cry)
weiterfahren,ist weitergefahren (to continue driving)
weitermachen,hat weitergemacht (to continue doing)
wenden,hat gewandt (to turn)
werfen,hat geworfen (to throw)
wiederholen,hat wiederholt (to repeat)
widersprechen,hat widersprochen (to contradict)
winken,hat gewinkt (to wave)
