German,Partizip II
riechen,hat gerochen (to smell)
rufen,hat gerufen (to call)
sammeln,hat gesammelt (to collect)
schaffen,hat geschafft (to manage / create)
schauen,hat geschaut (to look / watch)
scheinen,hat geschienen (to shine / seem)
schenken,hat geschenkt (to give (a gift))
schicken,hat geschickt (to send)
schlagen,hat geschlagen (to hit / beat)
schließen,hat geschlossen (to close)
schmecken,hat geschmeckt (to taste)
schneiden,hat geschnitten (to cut)
schreiben,hat geschrieben (to write)
schreien,hat geschrien (to shout)
schwimmen,ist geschwommen (to swim)
sehen,hat gesehen (to see)
senden,hat gesandt (to send)
setzen (sich),hat sich gesetzt (to sit down)
singen,hat gesungen (to sing)
sinken,ist gesunken (to sink)
sitzen,hat gesessen (to sit)
sparen,hat gespart (to save)
spülen,hat gespült (to wash (dishes))
springen,ist gesprungen (to jump)
starten,ist gestartet (to start)
stehen,hat gestanden (to stand)
stehlen,hat gestohlen (to steal)
steigen,ist gestiegen (to climb / rise)
stellen,hat gestellt (to put / place)
sterben,ist gestorben (to die)
stören,hat gestört (to disturb)
streiten,hat gestritten (to argue)
studieren,hat studiert (to study)
suchen,hat gesucht (to search / look for)
tanzen,hat getanzt (to dance)
tauschen,hat getauscht (to exchange)
teilnehmen,hat teilgenommen (to participate)
telefonieren,hat telefoniert (to phone)
testen,hat getestet (to test)
tippen,hat getippt (to type)
tragen,hat getragen (to carry / wear)
trainieren,hat trainiert (to train)
transportieren,hat transportiert (to transport)
träumen,hat geträumt (to dream)
treffen,hat getroffen (to meet)
trennen (sich),hat sich getrennt (to separate)
trinken,hat getrunken (to drink)
trocknen,hat getrocknet (to dry)
tun,hat getan (to do)
übernachten,hat übernachtet (to stay overnight)
