German,English
feiern,to celebrate
flirten + mit + Dativ,to flirt with
folgen + Dativ,to follow
fotografieren,to take photos
sich fühlen,to feel
funktionieren,to function / work
frühstücken,to eat breakfast
führen,to lead
garantieren,to guarantee
gebrauchen,to use
gefallen + Dativ,to please / like
gehören + zu + Dativ,to belong to / be part of
gelingen + Dativ,to succeed
genießen,to enjoy
glauben + an + Akkusativ,to believe in
gratulieren + zu + Dativ,to congratulate on
grillen,to grill / barbecue
hängen,to hang
heiraten,to marry
hoffen + auf + Akkusativ,to hope for
holen,to fetch / get
sich informieren + über + Akkusativ,to inform oneself about
installieren,to install
sich interessieren + für + Akkusativ,to be interested in
joggen,to jog
sich kämmen,to comb
kaputtgehen,to break / break down
klopfen + an + Akkusativ,to knock on (e.g. a door)
kontrollieren,to check / control
korrigieren,to correct
kündigen,to resign / cancel / quit
küssen,to kiss
lächeln,to smile
lassen,to let / leave
lügen,to lie
malen,to paint / draw
mieten,to rent
mitbringen,to bring along
mitfahren + mit + Dativ,to ride along / go along with
mitkommen,to come along
mitnehmen,to take along
nutzen,to use / make use of
operieren,to operate on
organisieren,to organize
parken,to park
passieren + Dativ,to happen to
probieren,to try / taste
sich rasieren,to shave
rechnen + mit + Dativ,to calculate / expect / count on
reservieren,to reserve
